timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1730842767682,243,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1367,191,5,6,https://api.clickup.com/api/v2//team,243,0,59
1730842767731,243,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1367,191,6,7,https://api.clickup.com/api/v2//team,243,0,56
1730842767782,230,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1367,191,7,8,https://api.clickup.com/api/v2//team,230,0,58
1730842767831,224,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1367,191,8,9,https://api.clickup.com/api/v2//team,224,0,60
1730842767926,180,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1209,191,9,9,https://api.clickup.com/api/v2/user,180,0,0
1730842767882,253,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-106,text,true,,1367,191,10,10,https://api.clickup.com/api/v2//team,253,0,65
1730842767932,211,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1367,191,10,10,https://api.clickup.com/api/v2//team,211,0,60
1730842767974,183,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1208,191,10,10,https://api.clickup.com/api/v2/user,183,0,0
1730842768055,106,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1209,191,10,10,https://api.clickup.com/api/v2/user,106,0,0
1730842767983,217,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-104,text,true,,1367,191,11,11,https://api.clickup.com/api/v2//team,217,0,57
1730842768018,187,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1209,191,11,11,https://api.clickup.com/api/v2/user,187,0,0
1730842768032,217,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-103,text,true,,1367,191,12,12,https://api.clickup.com/api/v2//team,217,0,61
1730842768149,101,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1209,191,12,12,https://api.clickup.com/api/v2/user,101,0,0
1730842768081,216,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-102,text,true,,1367,191,13,13,https://api.clickup.com/api/v2//team,216,0,55
1730842768200,102,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-104,text,true,,1209,191,13,13,https://api.clickup.com/api/v2/user,102,0,0
1730842768106,206,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1367,191,13,13,https://api.clickup.com/api/v2//team,206,0,57
1730842768127,199,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-101,text,true,,1367,191,13,13,https://api.clickup.com/api/v2//team,199,0,55
1730842768249,101,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-103,text,true,,1209,191,14,14,https://api.clickup.com/api/v2/user,101,0,0
1730842768149,211,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-106,text,true,,1209,191,14,14,https://api.clickup.com/api/v2/user,211,0,0
1730842768161,234,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1367,191,15,15,https://api.clickup.com/api/v2//team,234,0,54
1730842768177,234,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-100,text,true,,1367,191,15,15,https://api.clickup.com/api/v2//team,234,0,59
1730842768297,121,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-102,text,true,,1209,191,15,15,https://api.clickup.com/api/v2/user,121,0,0
1730842768157,268,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1367,191,15,15,https://api.clickup.com/api/v2//team,268,0,58
1730842768327,99,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-101,text,true,,1209,191,15,15,https://api.clickup.com/api/v2/user,99,0,0
1730842768312,137,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1208,191,16,16,https://api.clickup.com/api/v2/user,137,0,0
1730842768232,235,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-99,text,true,,1367,191,16,16,https://api.clickup.com/api/v2//team,235,0,55
1730842768206,269,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1367,191,16,16,https://api.clickup.com/api/v2//team,269,0,55
1730842768250,231,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1367,191,16,16,https://api.clickup.com/api/v2//team,231,0,57
1730842768395,116,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1209,191,17,17,https://api.clickup.com/api/v2/user,116,0,0
1730842768302,209,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-104,text,true,,1367,191,17,17,https://api.clickup.com/api/v2//team,209,0,59
1730842768281,253,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-98,text,true,,1366,191,18,18,https://api.clickup.com/api/v2//team,253,0,59
1730842768332,209,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-97,text,true,,1367,191,18,18,https://api.clickup.com/api/v2//team,209,0,63
1730842768411,135,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-100,text,true,,1209,191,18,18,https://api.clickup.com/api/v2/user,135,0,0
1730842768481,98,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1209,191,18,18,https://api.clickup.com/api/v2/user,98,0,0
1730842768361,223,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-106,text,true,,1367,191,19,19,https://api.clickup.com/api/v2//team,223,0,65
1730842768476,118,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1209,191,19,19,https://api.clickup.com/api/v2/user,118,0,0
1730842768425,194,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1209,191,19,19,https://api.clickup.com/api/v2/user,194,0,0
1730842768418,203,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-102,text,true,,1367,191,19,19,https://api.clickup.com/api/v2//team,203,0,61
1730842768532,105,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-104,text,true,,1209,191,20,20,https://api.clickup.com/api/v2/user,105,0,0
1730842768427,222,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-101,text,true,,1367,191,20,20,https://api.clickup.com/api/v2//team,222,0,57
1730842768432,222,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-95,text,true,,1367,191,20,20,https://api.clickup.com/api/v2//team,222,0,58
1730842768350,307,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-103,text,true,,1367,191,20,20,https://api.clickup.com/api/v2//team,307,0,62
1730842768380,293,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-96,text,true,,1367,191,20,20,https://api.clickup.com/api/v2//team,293,0,62
1730842768449,225,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1367,191,20,20,https://api.clickup.com/api/v2//team,225,0,57
1730842768467,209,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-99,text,true,,1209,191,20,20,https://api.clickup.com/api/v2/user,209,0,0
1730842768534,150,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-98,text,true,,1209,191,21,21,https://api.clickup.com/api/v2/user,150,0,0
1730842768584,106,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-106,text,true,,1209,191,21,21,https://api.clickup.com/api/v2/user,106,0,0
1730842768482,241,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-94,text,true,,1367,191,21,21,https://api.clickup.com/api/v2//team,241,0,58
1730842768621,112,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-102,text,true,,1209,191,22,22,https://api.clickup.com/api/v2/user,112,0,0
1730842768532,212,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1367,191,22,22,https://api.clickup.com/api/v2//team,212,0,63
1730842768541,209,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-97,text,true,,1209,191,22,22,https://api.clickup.com/api/v2/user,209,0,0
1730842768532,226,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-93,text,true,,1367,191,22,22,https://api.clickup.com/api/v2//team,226,0,58
1730842768670,100,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-103,text,true,,1209,191,22,22,https://api.clickup.com/api/v2/user,100,0,0
1730842768675,96,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-110,text,true,,1209,191,22,22,https://api.clickup.com/api/v2/user,96,0,0
1730842768554,217,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-100,text,true,,1367,191,22,22,https://api.clickup.com/api/v2//team,217,0,59
1730842768670,104,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-95,text,true,,1209,191,22,22,https://api.clickup.com/api/v2/user,104,0,0
1730842768580,201,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1367,191,22,22,https://api.clickup.com/api/v2//team,201,0,58
1730842768594,227,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1367,191,23,23,https://api.clickup.com/api/v2//team,227,0,61
1730842768650,186,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-101,text,true,,1208,191,24,24,https://api.clickup.com/api/v2/user,186,0,0
1730842768580,262,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-92,text,true,,1367,191,24,24,https://api.clickup.com/api/v2//team,262,0,58
1730842768744,104,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-107,text,true,,1209,191,24,24,https://api.clickup.com/api/v2/user,104,0,0
1730842768758,99,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-93,text,true,,1209,191,24,24,https://api.clickup.com/api/v2/user,99,0,0
1730842768673,190,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-96,text,true,,1209,191,24,24,https://api.clickup.com/api/v2/user,190,0,0
1730842768650,216,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-104,text,true,,1367,191,24,24,https://api.clickup.com/api/v2//team,216,0,60
1730842768619,255,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1367,191,24,24,https://api.clickup.com/api/v2//team,255,0,61
1730842768771,129,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-100,text,true,,1209,191,25,25,https://api.clickup.com/api/v2/user,129,0,0
1730842768684,221,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-98,text,true,,1366,191,25,25,https://api.clickup.com/api/v2//team,221,0,67
1730842768690,223,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-106,text,true,,1367,191,25,25,https://api.clickup.com/api/v2//team,223,0,63
1730842768723,190,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-94,text,true,,1209,191,25,25,https://api.clickup.com/api/v2/user,190,0,0
1730842768676,250,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-99,text,true,,1367,191,25,25,https://api.clickup.com/api/v2//team,250,0,66
1730842768682,249,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-90,text,true,,1367,191,25,25,https://api.clickup.com/api/v2//team,249,0,71
1730842768842,103,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-92,text,true,,1209,191,26,26,https://api.clickup.com/api/v2/user,103,0,0
1730842768731,221,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-89,text,true,,1366,191,26,26,https://api.clickup.com/api/v2//team,221,0,57
1730842768781,184,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-105,text,true,,1209,191,26,26,https://api.clickup.com/api/v2/user,184,0,0
1730842768750,224,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-97,text,true,,1367,191,26,26,https://api.clickup.com/api/v2//team,224,0,59
1730842768821,157,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-108,text,true,,1209,191,26,26,https://api.clickup.com/api/v2/user,157,0,0
1730842768875,104,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-109,text,true,,1209,191,26,26,https://api.clickup.com/api/v2/user,104,0,0
1730842768770,213,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-103,text,true,,1366,191,27,27,https://api.clickup.com/api/v2//team,213,0,57
1730842768905,112,GET Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-98,text,true,,1209,191,27,27,https://api.clickup.com/api/v2/user,112,0,0
1730842768734,263,GET Authorized workspaces,200,OK,jp@gc - Ultimate Thread Group 2-102,text,true,,1367,191,27,27,https://api.clickup.com/api/v2//team,263,0,57
